情境,日文,振假名,羅馬拼音,中文翻譯,重點解析
自我介紹,学生です。,がくせいです,Gakusei desu,我是學生。,職業說法：会社員（かいしゃいん）上班族、教師（きょうし）老師、エンジニア工程師。
自我介紹,趣味は何ですか？,しゅみはなんですか,Shumi wa nan desu ka,您的興趣是什麼？,「趣味（しゅみ）」是興趣，日本人聊天常問，準備一個自己的趣味說法很有幫助。
自我介紹,旅行が好きです。,りょこうがすきです,Ryokō ga suki desu,我喜歡旅行。,「〜が好き（すき）です」是表達喜好的基本句型，相反是「〜が嫌い（きらい）」。
自我介紹,日本語を勉強しています。,にほんごをべんきょうしています,Nihongo o benkyō shite imasu,我正在學日語。,「〜を勉強しています」表示正在學習某事，「〜ています」是進行中或持續的狀態。
自我介紹,日本語はまだ下手です。,にほんごはまだへたです,Nihongo wa mada heta desu,我的日語還不好。,「下手（へた）」是不擅長，「まだ」是還、尚未，謙虛表達日語程度，日本人通常會給予鼓勵。
自我介紹,ゆっくり話してください。,ゆっくりはなしてください,Yukkuri hanashite kudasai,請說慢一點。,初學者必備求救句，「ゆっくり」是緩慢地，對方通常願意配合放慢語速。
自我介紹,日本語がわかりません。,にほんごがわかりません,Nihongo ga wakarimasen,我聽不懂日語。,「わかりません」是「不懂、不理解」，可作為求助語，讓對方知道需要換個方式溝通。
自我介紹,中国語はわかりますか？,ちゅうごくごはわかりますか,Chūgokugo wa wakarimasu ka,您懂中文嗎？,「わかります」是「懂、理解」，詢問對方是否能說中文，在溝通困難時的應急方法。
自我介紹,どこから来ましたか？,どこからきましたか,Doko kara kimashita ka,您從哪裡來？,與外國人聊天時的常見問題，「どこから」是「從哪裡」，是日語中很自然的對話開場。
自我介紹,日本はこれが初めてですか？,にほんはこれがはじめてですか,Nihon wa kore ga hajimete desu ka,這是您第一次來日本嗎？,「初めて（はじめて）」是第一次，常見聊天話題，也可回答「二度目です（にどめです）第二次了」。
自我介紹,また会いましょう。,またあいましょう,Mata aimashō,我們再見面吧！,「また」是「再次」，「〜ましょう」是邀請「一起做…吧」，友善的道別語，表達期待再見。
觀光景點,入場料はいくらですか？,にゅうじょうりょうはいくらですか,Nyūjōryō wa ikura desu ka,入場費多少錢？,「入場料（にゅうじょうりょう）」是入場費，「いくら」詢問金額，景點入口必備問句。
觀光景點,学生割引はありますか？,がくせいわりびきはありますか,Gakusei waribiki wa arimasu ka,有學生折扣嗎？,「割引（わりびき）」是折扣、優惠，學生記得帶學生證，日本很多景點提供優惠票。
觀光景點,大人二枚ください。,おとなにまいください,Otona ni-mai kudasai,請給我兩張大人票。,「大人（おとな）」成人、「子ども（こども）」兒童，「枚（まい）」是張狀物的計算單位。
觀光景點,何時から何時まで開いていますか？,なんじからなんじまであいていますか,Nanji kara nanji made aite imasu ka,幾點到幾點開放？,「から〜まで」表示從…到…的時間範圍，「開いています（あいています）」是開放中的狀態。
觀光景點,今日は開いていますか？,きょうはあいていますか,Kyō wa aite imasu ka,今天有開嗎？,確認當日是否開放，有些景點週一公休，出發前務必確認，避免白跑一趟。
觀光景點,写真を撮ってもいいですか？,しゃしんをとってもいいですか,Shashin o totte mo ii desu ka,可以拍照嗎？,「写真を撮る（しゃしんをとる）」是拍照，在博物館、神社等地，事先詢問是基本禮儀。
觀光景點,写真を撮ってもらえますか？,しゃしんをとってもらえますか,Shashin o totte moraemasu ka,可以幫我拍照嗎？,請路人幫拍照，「〜てもらえますか」是請求幫助的禮貌說法，比「ください」更客氣。
觀光景點,ここが〇〇ですか？,ここが〇〇ですか,Koko ga 〇〇 desu ka,這裡就是〇〇嗎？,確認是否到達目的地，「ここ」是這裡，「が」強調確認的對象是這個地方。
觀光景點,地図をもらえますか？,ちずをもらえますか,Chizu o moraemasu ka,可以給我地圖嗎？,「もらえますか」是「可以給我嗎」，許多觀光地提供免費地圖，主動索取非常方便。
觀光景點,音声ガイドはありますか？,おんせいがいどはありますか,Onsei gaido wa arimasu ka,有語音導覽嗎？,「音声（おんせい）」是聲音、語音，部分博物館提供多語言語音導覽，值得詢問。
觀光景點,日本語以外の説明はありますか？,にほんごいがいのせつめいはありますか,Nihongo igai no setsumei wa arimasu ka,有日語以外的說明嗎？,「以外（いがい）」是「除了…以外」，「説明（せつめい）」是說明，詢問是否有中英文版本。
觀光景點,これは何ですか？,これはなんですか,Kore wa nan desu ka,這是什麼？,遇到不認識的展示品或建築物，最簡單的詢問方式，配合手勢指向對象。
觀光景點,トイレはどこですか？,といれはどこですか,Toire wa doko desu ka,廁所在哪裡？,旅遊必問之一！日本公共廁所乾淨整潔，景點通常都有設置，不用不好意思問。
觀光景點,売店はどこですか？,ばいてんはどこですか,Baiten wa doko desu ka,紀念品店在哪裡？,「売店（ばいてん）」是販賣部、紀念品攤位，找伴手禮的好去處。
觀光景點,近くにおすすめの場所はありますか？,ちかくにおすすめのばしょはありますか,Chikaku ni osusume no basho wa arimasu ka,附近有推薦的地方嗎？,「場所（ばしょ）」是地方、場所，詢問當地人推薦往往能得到觀光書上沒有的隱藏版推薦。
觀光景點,ここからどのくらいかかりますか？,ここからどのくらいかかりますか,Koko kara donokurai kakarimasu ka,從這裡要多久？,「どのくらい」是大約多少，「かかります」是花費（時間），詢問距離或時間時使用。
觀光景點,最終入場は何時ですか？,さいしゅうにゅうじょうはなんじですか,Saishū nyūjō wa nanji desu ka,最後入場時間是幾點？,「最終（さいしゅう）」是最後，有些景點最終入場比閉館早30分到1小時，務必確認。
觀光景點,ロッカーはありますか？,ろっかーはありますか,Rokkā wa arimasu ka,有置物櫃嗎？,「ロッカー」是置物櫃，行李太重時非常好用，日本景點幾乎都設有投幣式置物櫃。
觀光景點,スタンプはどこですか？,すたんぷはどこですか,Sutanpu wa doko desu ka,蓋章處在哪裡？,「スタンプ」是印章，日本景點常設有紀念印章區，收集印章是很受歡迎的旅遊活動。
觀光景點,とてもきれいですね。,とてもきれいですね,Totemo kirei desu ne,真的很美呢！,「きれい」是美麗、漂亮，「ですね」語尾表達感嘆或與對方共鳴，說出來對方一定很開心。
日常打招呼,おはようございます。,おはようございます,Ohayō gozaimasu,早安。,早上的問候語，約在10點前使用。朋友之間可簡化說「おはよう」（去掉「ございます」）。
日常打招呼,こんにちは。,こんにちは,Konnichiwa,你好／午安。,白天的問候語，約10點至傍晚前使用，是最廣為人知的日語問候語。
日常打招呼,こんばんは。,こんばんは,Konbanwa,晚安（問候用）。,傍晚到夜間的見面問候語，注意與「おやすみ」不同，此句用於見面時，不是睡前說的晚安。
日常打招呼,おやすみなさい。,おやすみなさい,Oyasumi nasai,晚安（道別用）。,睡前或夜間道別時使用，和朋友可說「おやすみ」，「こんばんは」是見面打招呼，兩者不要搞混。
日常打招呼,さようなら。,さようなら,Sayōnara,再見（鄭重）。,較正式或有一段時間不會再見時使用，日常說「またね」或「じゃあね」更自然。
日常打招呼,またね。,またね,Mata ne,再見（輕鬆語氣）。,輕鬆的道別語，適合朋友之間，「また」是「再次」，暗示很快就會再見面。
日常打招呼,お元気ですか？,おげんきですか,O-genki desu ka,您好嗎？,詢問對方近況，「元気（げんき）」是精神好、健康，「お」是禮貌前綴，較久未見時使用。
日常打招呼,おかげさまで元気です。,おかげさまでげんきです,Okagesama de genki desu,託您的福，我很好。,「おかげさまで」是「托您的福」，回答「お元気ですか」的禮貌說法，表現謙遜與感謝。
日常打招呼,ありがとうございます。,ありがとうございます,Arigatō gozaimasu,非常感謝。,正式的感謝語，對陌生人或長輩使用，朋友之間可說「ありがとう」。
日常打招呼,どういたしまして。,どういたしまして,Dōitashimashite,不客氣。,回應感謝的標準用語，日常也可說「いいえ、どうぞ（沒事）」。
日常打招呼,すみません。,すみません,Sumimasen,不好意思／對不起。,超級萬用語！可用於打擾別人、輕微道歉、呼叫服務生等多種場合，使用頻率最高的句子之一。
日常打招呼,ごめんなさい。,ごめんなさい,Gomen nasai,對不起。,誠摯道歉時使用，比「すみません」語氣更強，如踩到別人腳或造成困擾時使用更合適。
日常打招呼,大丈夫ですか？,だいじょうぶですか,Daijōbu desu ka,沒事嗎？,關心對方狀況時使用，也可用於確認「沒問題嗎？」，是一個非常有溫度的日常問句。
日常打招呼,大丈夫です。,だいじょうぶです,Daijōbu desu,沒事／沒問題。,「大丈夫（だいじょうぶ）」是使用頻率極高的單字，既可表示「沒事」也可表示「沒問題、OK」。
日常打招呼,わかりました。,わかりました,Wakarimashita,我明白了。,正式程度適中的理解確認語，在工作或服務場合聽到指示後使用，比「うん（嗯）」更有禮貌。
日常打招呼,わかりません。,わかりません,Wakarimasen,我不明白。,表示不理解，也可用於「不知道」某件事，搭配「すみません」更禮貌。
日常打招呼,もう一度言ってください。,もういちどいってください,Mō ichido itte kudasai,請再說一次。,沒聽清楚時的求救句，「もう一度（もういちど）」是再一次，不要因為害羞而假裝聽懂。
日常打招呼,少し待ってください。,すこしまってください,Sukoshi matte kudasai,請稍等一下。,「少し（すこし）」是一點點，「待つ（まつ）→待って（まって）」是て形，可簡化說「ちょっと待って」。
日常打招呼,いただきます。,いただきます,Itadakimasu,我要開動了。,吃飯前必說的固定語，表達對食物與製作者的感謝，是日本飲食文化中不可缺少的禮儀。
日常打招呼,お疲れ様でした。,おつかれさまでした,Otsukare-sama deshita,您辛苦了。,工作或活動結束後對彼此的慰勞語，是日語職場文化中使用頻率最高的句子之一。
